"Key","Section","Where it appears","Original copy","Alison edit"
"cardF.exclusions.kids.t2","Query Type 2 · F. Query Management","Exclusion checkbox","Kids","delete option"
"info.inc-music.t2","Query Type 2 · F. Query Management","(ⓘ) tooltip on Music exclusion","<strong>Exclude Music.</strong> The Video Gaming, Popular Music and Kids' Media Topics produce more than half of all Social Listening Noise. No matter the query, it's highly likely a gamer, a cartoon, a song or a band uses those words. If you're opting for Contextual Queries, we take care of the noise whether or not you check these boxes. <br><br>But if you're saving money by using Adjusted Searches, it's wise to check the Music box.","<b>delete</b><div><b><br></b></div>"
"info.inc-kids.t2","Query Type 2 · F. Query Management","(ⓘ) tooltip on Kids exclusion","<strong>Exclude Kids.</strong> The Video Gaming, Popular Music and Kids' Media Topics produce more than half of all Social Listening Noise. No matter the query, it's highly likely a gamer, a cartoon, a song or a band uses those words. If you're opting for Contextual Queries, we take care of the noise whether or not you check these boxes. <br><br>But if you're saving money by using Adjusted Searches, it's wise to check the Kids box.","<b>delete</b>"
"cardG.sub.t2","Query Type 2 · G. Query Volume","Subtext","How many queries you will submit.","Estimate Your Data Costs by Entering the Number of Topical Queries You'll Submit"
"cardG.sub.t1","Query Type 1 · G. Query Volume","Subtext","How many queries you will submit.","Estimate Your Data Costs by Entering the Number of Brand Queries You'll Submit"
"info.creatorMetrics.t2","Query Type 2 · E. Creator Metrics","(ⓘ) tooltip on title","<strong>Creator Metrics (placeholder).</strong> Influencer Marketing is now mainstream media. Creator Metrics enable your platform to connect Social Listening to its next logical step – Influencer Marketing. Creator Metrics enables you to show who's talking about the brand, how big they are, and whether they're hurting or helping the brand's reputation. Across videos, Creator Data enables you to summarize who's harming the brand with repetitive, negative content. And the inverse....who's promoting the brand out of genuine loyalty and could use some free product love? Who should the brand hire next?","<strong>Creator Metrics.</strong> Influencer Marketing is now mainstream media. Creator Metrics enable your platform to connect Social Listening to its next logical step – Influencer Marketing.&nbsp; Creator Metrics are particularly important for Topical Queries; finding the category's Influencers is often the underlying reason for users to submit this type of query.&nbsp; Enable your platform to show who's talking about the brand, how big they are, and whether they're hurting or helping the brand's reputation. Across videos, Creator Data enables you to summarize who's harming the brand with repetitive, negative content. And the inverse....who's promoting the brand out of genuine loyalty and could use some free product love? Who should the brand hire next?"
"info.volume.t2","Query Type 2 · G. Query Volume","(ⓘ) tooltip on title","One <em>query</em> = one search string. Each query returns 100% of matching videos in your Selected Date Refresh period. We do not cap results volume. Volume below 15,000 queries carries a per-query surcharge; tiers above 15,000 receive an increasingly large discount.","One <em>query</em> = one search string. Each query returns 100% of matching videos no matter when they were published, so long s the video had fresh viewing in the past 36 months.&nbsp; Volume below 15,000 queries carries a per-query surcharge; tiers above 15,000 receive an increasingly large discount.&nbsp; We do not truncate results by volume.&nbsp;"
"info.volume.t1","Query Type 1 · G. Query Volume","(ⓘ) tooltip on title","One <em>query</em> = one search string. Each query returns 100% of matching videos in your Selected Date Refresh period. We do not cap results volume. Volume below 15,000 queries carries a per-query surcharge; tiers above 15,000 receive an increasingly large discount.","One <em>query</em> = one search string. Each query returns 100% of matching videos no matter when they were published, so long s the video had fresh viewing in the past 36 months.&nbsp; Volume below 15,000 queries carries a per-query surcharge; tiers above 15,000 receive an increasingly large discount.&nbsp; We do not truncate results by volume.&nbsp;"
"info.inc-kids.t1","Query Type 1 · F. Query Management","(ⓘ) tooltip on Kids exclusion","<strong>Exclude Kids.</strong> The Video Gaming, Popular Music and Kids' Media Topics produce more than half of all Social Listening Noise. No matter the query, it's highly likely a gamer, a cartoon, a song or a band uses those words. If you're opting for Contextual Queries, we take care of the noise whether or not you check these boxes. <br><br>But if you're saving money by using Adjusted Searches, it's wise to check the Kids box.","<strong>Exclude Kids.</strong> The Video Gaming, Popular Music and Kids' Media Topics produce more than half of all Social Listening Noise. No matter the query, it's highly likely a gamer, a cartoon, a song or a band uses those words. <br><br>If you're opting for Contextual Queries, we take care of the noise whether or not you check these boxes.&nbsp; If you're saving money by using Adjusted Searches, it's wise to check the Kids box."
"info.inc-music.t1","Query Type 1 · F. Query Management","(ⓘ) tooltip on Music exclusion","<strong>Exclude Music.</strong> The Video Gaming, Popular Music and Kids' Media Topics produce more than half of all Social Listening Noise. No matter the query, it's highly likely a gamer, a cartoon, a song or a band uses those words. If you're opting for Contextual Queries, we take care of the noise whether or not you check these boxes. <br><br>But if you're saving money by using Adjusted Searches, it's wise to check the Music box.","<strong>Exclude Music.</strong> The Video Gaming, Popular Music and Kids' Media Topics produce more than half of all Social Listening Noise. No matter the query, it's highly likely a gamer, a cartoon, a song or a band uses those words. <br><br>If you're opting for Contextual Queries, we take care of the noise whether or not you check these boxes.&nbsp; If you're saving money by using Adjusted Searches, it's wise to check the Music box."
"info.inc-gaming.t1","Query Type 1 · F. Query Management","(ⓘ) tooltip on Gaming exclusion","<strong>Exclude Gaming.</strong> The Video Gaming, Popular Music and Kids' Media Topics produce more than half of all Social Listening Noise. No matter the query, it's highly likely a gamer, a cartoon, a song or a band uses those words. If you're opting for Contextual Queries, we take care of the noise whether or not you check these boxes. <br><br>But if you're saving money by using Adjusted Searches, it's wise to check the Gaming box. <br>","<strong>Exclude Gaming.</strong> The Video Gaming, Popular Music and Kids' Media Topics produce more than half of all Social Listening Noise. No matter the query, it's highly likely a gamer, a cartoon, a song or a band uses those words. I<br><br>If you're opting for Contextual Queries, we take care of the noise whether or not you check these boxes. But if&nbsp;you're saving money by using Adjusted Searches, it's wise to check the Gaming box. <br>"
"info.em-include.t1","Query Type 1 · F. Query Management","(ⓘ) tooltip on Owned Media exclusion","<strong>Exclude Earned Media.</strong> Exclude any and all videos published by the brand itself across all of the brand's YouTube channels regardless of geography.<br><br>This is a filter, not a query change.","<strong>Exclude Earned Media.</strong> Exclude any and all videos published by the brand itself across all of the brand's YouTube channels."
"info.query.t1","Query Type 1 · F. Query Management","(ⓘ) tooltip on title","<strong>Adjusted Queries: </strong> We perform basic changes to dramatically improve search results. Programmatically, as the query comes in, we change apostrophes and quotations to our universal format, and we remove punctuation (except apostrophes) and hashtags. Manually, we combine terms that aren't combined and we split terms that are combined. For example, if the query says ""Glassskin"" we add ""Glass Skin,"" catching significantly more videos. Where OR strings are connected by the wrong operator, we fix it. We add all the possessives and plurals. If the user has submitted more than one brand in the query we remove the second brand and submit a second query for your approval. If there are obvious, easy things we can to do improve the catch or discard the noise in the few minutes allowed, we do it. <div><br><strong>Contextual Queries</strong> are 100% Accurate and Complete, and we guarantee it. It's the Mercedes of Social Listening. If you can afford this option, Contextual is the way to go. Your clients will immediately notice your mastery of Video Social Listening. To achieve perfection, we combine our big data engineering with People Power - the same people who've classified every YouTube brand video into hundreds of thousands of topical homes. Our people aren't guessing at terms. They're looking at the entire database of videos that responds to the query. They can see - and are aided by AI to see - the thousands of Boolean operators needed to NOT OUT the NOISE and CATCH all the SIGNAL. <br><br>Some platforms have expressed nervousness around this, concerned we might make judgment calls the brand wouldn't agree with. Things are surprisingly black and white. Incoming queries very clearly state the brands' intentions. The problem is that users never achieve their stated intention. There are never enough NOTs, ANDs and ORs to get the job done. We expand terms and channels to find every video matching the brand's criteria. We take out all the Noise. Example: Orange Telecom submits ""Orange AND Phone."" A video entitled ""Get your newest phone at the local Orange store"" is Signal. A kids' cartoon with the knock knock joke, ""Orange you glad I didn't call you on the phone?"" is Noise. The lines are easy to draw, but to get good results, someone needs to draw them. Without the actual database of content to work with, that's impossible to do. <br><br>Our Contextual Queries contain 1,000 to 10,000 operators per query and produce 5–50× more results than Adjusted Queries. Contextual queries are the only way to go for generic-name brands like <em>Orange Telecom, Dodge Cars, Specialized Bicycles, Columbia Sportswear, Liberty Financial</em>. Contextual Queries are perfected by Day 30, but they're also never done. New content reveals new combinations of words that beg for more NOTs, ANDs and ORs. </div><div><br></div><div>At a $2mm spending level, our Contextual Queries become your property so you can use them to improve results on TikTok, Reels and elsewhere. </div>","<div><b>Testing Platform-provided Queries revealed that 0% could be accepted ""as is"" and return acceptable results.&nbsp;</b>&nbsp;<br><br><div><b>Our Test Results:</b>&nbsp; These results represent a broadly rounded average of 12 different Brand Queries provided at random by multiple Social Listening Platforms.<br><br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<b>Videos Found</b>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<b>Signal Videos&nbsp;</b>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<b>Noise Videos</b>&nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<b>Accuracy Rate</b><br>YouTube API&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;300&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;9&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;291&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 3%<br>Touchstorm DataLabs, Adjusted Query&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;2500&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;1500&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;1000&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 60%</div><div>Touchstorm DataLabs, Contextual Query&nbsp; &nbsp; &nbsp; &nbsp;10,000&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;10,000&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 0&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 100%</div></div><strong><div><strong><br></strong></div>Adjusted Queries: </strong> We perform basic but impactful changes to the submitted query. Programmatically, as the query comes in, we change apostrophes and quotations to our universal format, and we remove punctuation (except apostrophes) and hashtags. Manually, we combine terms that aren't combined and we split terms that are combined. For example, if the query asks for ""Glassskin"" we add ""Glass Skin,"" catching significantly more videos. Where OR strings are connected by the wrong operator, we fix it. We add all the possessives and plurals. If the user has submitted more than one brand in the query we remove the second brand and submit a second query for your approval. If there are obvious, easy things we can to do improve the catch or discard the noise in the few minutes allowed per query, we do it. <div><br><strong>Contextual Queries</strong> are 100% Accurate and Complete, and we guarantee it. It's the Mercedes of Social Listening. If you can afford this option, Contextual is the way to go. Your clients will immediately notice your mastery - the difference is dramatic. To achieve perfection, we combine our big data engineering with People Power - the same people who've classified every YouTube brand video into hundreds of thousands of topical homes. Our people aren't guessing at terms. They're looking at the entire database of videos that responds to the query. They can see - and are aided by AI to see - the thousands of Boolean operators needed to NOT OUT the NOISE and CATCH all the SIGNAL. <br><br>Some platforms have expressed nervousness around this, concerned we might make judgment calls the brand wouldn't support. Things are much more black and white than you might think. Example: Orange Telecom submits ""Orange AND Phone."" A video entitled ""Get your newest phone at the local Orange store"" is Signal. A kids' cartoon with the knock knock joke, ""Orange you glad I didn't call you on the phone?"" is Noise. The lines are easy to draw, but to get good results, someone needs to draw them. Without the actual database of content to work with, that's impossible to do.</div><div><br></div><div>Incoming queries very clearly state the brands' intentions. The problem is that users never achieve their stated intention. There are never enough NOTs, ANDs and ORs to get the job done.&nbsp; Our Contextual Queries contain 1,000 to 10,000 operators per query and produce 5–50× more results than Adjusted Queries. Contextual queries are the only way to go for generic-name brands like <em>Orange Telecom, Dodge Cars, Specialized Bicycles, Columbia Sportswear, Liberty Financial</em>. Contextual Queries are perfected by Day 30, but they're also never done. The endless stream of new content exposes new combinations of words that beg for more NOTs, ANDs and ORs to be added.</div><div><br></div><div><i style="""">At a $2mm spending level, our Contextual Queries become your property so you can use them to improve results on TikTok, Reels and elsewhere. </i></div>"
"info.depth-transcripts.t1","Query Type 1 · C. Search Depth","(ⓘ) tooltip on Transcripts","<strong>All + Category Transcripts: </strong> Strongly recommended. This final option turns up a specific, important type of Product Review Video. <em>These are Big-view listicle videos</em> like ""Top 5 Blenders for 2026"" and ""The Least Safe SUVs on the road today."" <br><br>The Transcripts option also includes Snippets. Snippets are short transcript excerpts surrounding a brand mention in the video. It's the exact words the creator said before and after referencing your client's brand or product. If the brand is mentioned repeatedly, as is often the case, we provide the first three snippets delivered live on demand.<br><br>Note: Most companies measuring video sentiment and/or offering transcript-level searches scrape the transcripts off YouTube's site. We do not scrape YouTube as it would put us out of compliance and in turn, put you out of compliance. We buy our transcripts from Google, explaining the price jump associated with this option.","<strong>All + Category Transcripts: </strong> Strongly recommended for Brand Queries. This final option turns up a specific, important type of Product Review Video – the&nbsp;<em>Big-view listicle videos</em> like ""Top 5 Blenders for 2026"" and ""The Least Safe SUVs on the road today."" <br><br>The Transcripts option also includes Snippets. Snippets are the exact words the creator said before and after referencing your client's brand or product. If the brand is mentioned repeatedly, as is often the case, we provide the first three snippets delivered live on demand.<br><br><i style="""">Note: Most companies offering transcript-level searches (like this option), or even just sentiment (which requires transcripts), scrape the transcripts off YouTube.&nbsp; That's against YouTube's Terms of Service, putting both the vendor and you out of compliance.&nbsp; We don't scrape YouTube.&nbsp; We buy our transcripts from Google, explaining the price jump associated with this option.</i>"
"info.refresh.t1","Query Type 1 · B. Data Refresh Frequency","(ⓘ) tooltip on title","We recommend Daily Data Refresh for Branded Queries. <br><br>If you choose <strong>Daily Data Refresh</strong>, your users will always have new data through yesterday, no matter when they visit your platform. New data includes any new Videos or Comments that appeared yesterday, as well as fresh metric counts (like new views) on older evergreen videos. If you choose Daily refresh, new videos will appear the day after they were published, making Daily Refresh especially important for monitoring new product rollouts, tracking organic pickup of time-sensitive campaigns like Super Bowl, monitoring media pickup of PR initiatives, tracking Crisis PR situations and closely monitoring consumer complaints.<br><br>If you choose <strong>Weekly Data Refresh</strong> you will save money, but your users will face a data hole that's miniscule on Mondays and awkwardly large on Sundays. We pull weekly data on Sunday nights, collecting the prior week's Monday to Sunday activity. If a user visits on a Monday, the data is completely current - the entire past week is available to them. The user who logs in on a Thursday will notice this week's Monday to Wednesday data is missing. The user who logs in on Sunday will face an entire week of missing data.","We recommend Daily Data Refresh for Branded Queries. <br><br><strong>Daily Data Refresh:&nbsp; </strong>Your users will always have new data through yesterday, no matter when they visit your platform. New data includes any new Videos or Comments that appeared yesterday, as well as fresh metric counts (like new views) on older evergreen videos. If you choose Daily refresh, new videos will appear the day after they were published, making Daily Refresh especially important for brands monitoring new product rollouts, tracking organic pickup of time-sensitive campaigns like Super Bowl, monitoring media pickup of PR initiatives, tracking Crisis PR situations and closely monitoring consumer complaints.<br><br><strong>Weekly Data Refresh:</strong>&nbsp;Saves money, but your users will face a data hole that's miniscule on Mondays and awkwardly large on Sundays. We pull weekly data on Sunday nights, collecting the prior week's Monday to Sunday activity. If a user visits on a Monday, the data is completely current - the entire past week is available to them. The user who logs in on a Thursday will notice this week's Monday to Wednesday data is missing. The user who logs in on Sunday will face an entire week of missing data."
"explainer.3.p","Explainer block","Item 3 body","Everyone asks the same question. Why won't YouTube give us enough quota to report accurately on their medium? We agree that the lack of YouTube results in Social Listening has had a direct effect on YouTube revenues, and we hope to contribute to fixing that. But more quota wouldn't help the platforms. The problem is database structure. YouTube is not a classic search engine like Google. Google wants to give you what you want right away - no need for a Page 2. YouTube, on the other hand, wants to increase users' Watch Time. That's why search results are filled with irrelevant content. That's why queries bring back more noise than signal. <br><br>We've been testing brand queries for a few months now. The average query submitted to the YouTube Search API brings back about 300 videos. Of those 300 videos, fewer than 10 videos on average satisfy the query. That's a 97% noise ratio. When we Adjust the brand's query with our fastest fix, those 10 on-target videos grow into the thousands. When we Contextualize the Query and eliminate all noise, we produce tens of thousands on Pure Signal videos over the 10 found via the YouTube API. The difference is astounding.","<div><b>Welcome to the Touchstorm Video Index, our Marketing Taxonomy.&nbsp; <br></b>It's our database structure that's been built for Brands, Products &amp; Product Categories, but its Topics cover every aspect of the human experience.&nbsp; No matter what a YouTube video is about, it has a place to live in the TVi - and it's ready for you to study. This is where your queries go. It's YouTube's database, but completely reformatted, enriched and reconfigured to produce wholly different results than querying the YouTube Search API. <br>•&nbsp; We boil the YouTube ocean every night, which means your clients won't be able to point out Missing Videos. <br>•&nbsp; Results are always current through yesterday. <br>•&nbsp; We've classified all videos featuring brands, products or product categories by Topic, enabling rich analyses for your site that goes beyond listing posts. <br>•&nbsp; We've been collecting data since 2007, meaning we caught the data early enough to provide Historical Trends in compliance with YouTube guidelines. <br>•&nbsp; We've appended all the data with other data and metrics important to brands, enabling deeper strategic analyses.&nbsp;&nbsp;</div><div>•&nbsp; Our grandfathered quota status means we don't need to limit your results.&nbsp;&nbsp;</div><div>•&nbsp; Our All Signal/No Noise guarantee means you can confidently charge clients by result.&nbsp;</div><div>•&nbsp; Our enhanced Creator Data connects Social Listening data to its logical outcome - the recruitment of Influencers. <br><br>Finally, true YouTube Social Listening is here. We're ready for your queries.<b></b></div><b><div><b><br></b></div><br></b>"
"explainer.2.h","Explainer block","Item 2 heading","GOODBYE VIDEO LIMITATIONS","YOUTUBE API QUOTA ISSUE"
"explainer.3.h","Explainer block","Item 3 heading","YOUTUBE API QUOTA ISSUE","THE TOUCHSTORM VIDEO INDEX"
